EmployeeID,Age,Gender,Department,JobRole,MonthlyIncome,YearsAtCompany,YearsSinceLastPromotion,JobSatisfaction,WorkLifeBalance,Attrition
56,45,Female,Operations,Clerk,119840,11,4,2,4,Yes
57,52,Male,Finance,Developer,102670,8,6,4,2,No
58,55,Male,Finance,Clerk,88975,4,4,1,1,No
59,32,Male,IT,Executive,57906,4,3,2,4,No
60,38,Female,IT,Manager,76644,10,6,1,1,No
61,23,Male,HR,Analyst,17671,7,1,2,2,Yes
62,57,Male,Finance,Developer,115518,15,3,3,2,Yes
63,27,Male,IT,Clerk,103781,5,2,4,4,Yes
64,36,Male,IT,Clerk,30866,2,2,1,3,No
65,53,Female,Sales,Executive,79251,11,1,1,4,No
66,30,Female,HR,Clerk,100256,14,11,3,4,No
67,58,Female,IT,Analyst,26359,13,13,3,4,Yes
68,60,Female,IT,Manager,79789,14,9,3,2,No
69,37,Female,IT,Clerk,106905,6,2,3,1,Yes
70,47,Female,Operations,Analyst,105519,2,0,4,4,No
71,39,Male,Finance,Analyst,55135,0,0,3,4,No
72,56,Female,IT,Executive,50509,13,11,3,3,Yes
73,41,Male,Operations,Analyst,40105,3,1,2,4,No
74,33,Female,HR,Developer,38519,9,1,3,1,Yes
75,24,Female,HR,Executive,28446,8,0,1,3,No
76,42,Male,Sales,Developer,77616,15,14,1,1,No
77,57,Male,HR,Analyst,88772,15,2,3,1,Yes
78,59,Male,Operations,Executive,74049,3,3,4,3,No
79,60,Male,Operations,Manager,114973,9,9,2,2,No
80,36,Male,Operations,Manager,35517,2,0,1,4,No
81,23,Male,IT,Developer,107141,15,9,4,1,Yes
82,48,Male,Operations,Analyst,99886,8,3,2,3,Yes
83,31,Female,Operations,Clerk,52828,2,0,4,1,No
84,38,Female,Finance,Manager,93385,9,6,1,4,No
85,26,Male,Operations,Clerk,17719,8,0,3,1,Yes
86,38,Male,Operations,Executive,98202,15,14,4,1,No
87,42,Female,Sales,Analyst,58228,11,6,4,4,No
88,56,Male,Finance,Manager,56224,12,12,3,3,Yes
89,21,Female,Finance,Manager,39586,12,8,3,4,No
90,38,Male,IT,Executive,106521,1,0,4,1,Yes
91,40,Male,Operations,Executive,27217,7,2,2,1,No
92,52,Female,Operations,Developer,69459,3,1,4,4,Yes
93,30,Female,HR,Clerk,81616,14,8,2,1,No
94,53,Female,Sales,Developer,110164,13,5,3,4,Yes
95,51,Female,IT,Clerk,114991,14,8,4,4,No
96,36,Female,HR,Executive,20720,6,5,3,4,No
97,30,Female,Sales,Analyst,80836,12,10,3,1,No
98,21,Male,Finance,Analyst,24807,3,3,4,3,No
99,26,Female,Operations,Executive,56505,12,10,4,1,Yes
100,35,Male,Finance,Manager,114663,7,4,1,4,Yes
101,23,Female,Sales,Developer,61984,9,0,3,4,Yes
102,57,Male,HR,Analyst,25350,7,6,4,2,No
103,50,Female,Finance,Developer,102404,4,1,1,4,No
104,49,Female,Operations,Developer,98746,5,0,4,3,No
105,45,Female,Sales,Analyst,64986,9,3,3,3,No
106,38,Male,Operations,Manager,94482,0,0,4,3,Yes
107,33,Female,HR,Manager,97242,11,3,1,3,No
108,29,Male,IT,Developer,112973,1,1,4,2,Yes
109,44,Female,HR,Developer,78156,4,4,3,3,Yes
110,30,Male,Finance,Clerk,62942,14,1,1,4,Yes
111,28,Female,IT,Developer,91619,8,8,4,3,Yes
112,22,Female,Operations,Analyst,99889,7,7,1,4,No
113,29,Male,Sales,Developer,79569,13,1,1,1,Yes
114,50,Female,Operations,Executive,91983,4,3,2,4,Yes
115,38,Male,IT,Analyst,73115,15,13,4,2,No
116,55,Female,Sales,Executive,51160,3,2,2,1,No
117,34,Male,Sales,Developer,46925,2,2,2,2,Yes
118,34,Male,IT,Analyst,118369,6,4,1,3,Yes
119,37,Male,Sales,Manager,32275,4,4,1,3,Yes
120,32,Female,Sales,Analyst,112218,10,0,4,1,Yes
121,44,Male,Finance,Clerk,44038,15,14,1,3,No
122,51,Female,Finance,Manager,79260,0,0,4,1,Yes
123,30,Male,HR,Developer,96830,10,9,3,4,No
124,59,Female,Sales,Manager,100814,14,8,2,4,No
125,42,Female,Finance,Executive,110631,7,6,1,3,No
126,37,Female,HR,Executive,23799,10,10,1,1,Yes
127,44,Male,Operations,Manager,91869,13,1,3,1,No
128,48,Male,IT,Clerk,55953,11,10,3,1,Yes
129,35,Male,IT,Clerk,63176,4,3,1,3,Yes
130,56,Male,Operations,Developer,18794,13,13,2,3,No
131,21,Male,HR,Clerk,101159,10,5,4,1,Yes
132,54,Male,Finance,Executive,74460,0,0,3,2,No
133,57,Male,Sales,Analyst,35632,9,5,1,1,No
134,48,Female,Operations,Executive,69287,14,10,3,2,Yes
135,28,Female,Operations,Executive,84066,11,6,3,1,Yes
136,24,Male,HR,Developer,42686,12,9,2,3,No
137,21,Female,Finance,Analyst,31932,10,1,4,2,No
138,23,Female,Sales,Executive,25205,2,1,3,4,No
139,28,Female,Sales,Developer,37527,13,4,4,3,Yes
140,27,Male,Finance,Clerk,67487,13,13,1,4,No
141,42,Male,Sales,Clerk,97998,10,3,1,2,No
142,30,Male,Sales,Analyst,48550,11,11,2,2,Yes
143,52,Female,Operations,Clerk,73838,2,0,3,3,Yes
144,51,Female,IT,Developer,92518,14,1,1,3,Yes
145,49,Male,Sales,Developer,52627,9,7,1,1,No
146,56,Male,Finance,Clerk,100437,14,9,2,3,No
147,49,Male,IT,Manager,81132,4,0,2,1,Yes
148,54,Male,IT,Developer,52079,14,7,4,4,No
149,25,Female,Sales,Clerk,103916,1,1,4,3,No
150,26,Male,IT,Developer,100990,4,2,4,2,Yes
151,45,Female,HR,Clerk,27249,9,8,4,3,Yes
152,32,Male,IT,Executive,40166,11,4,2,2,Yes
153,27,Male,IT,Clerk,32176,2,1,4,2,Yes
154,60,Male,Finance,Manager,68852,5,5,3,2,No
155,35,Male,IT,Executive,40430,9,7,3,4,No
156,53,Female,HR,Analyst,94254,9,6,2,3,Yes
157,56,Male,Operations,Manager,52363,15,11,1,2,No
158,53,Male,Finance,Manager,44102,14,14,4,3,Yes
159,46,Female,HR,Executive,25696,13,0,3,2,Yes
160,42,Male,HR,Manager,52601,10,1,4,2,No
161,21,Male,Sales,Developer,43266,14,9,2,4,Yes
162,40,Male,Sales,Analyst,70027,9,3,4,1,Yes
163,53,Male,HR,Developer,71261,15,0,1,3,Yes
164,26,Female,Sales,Clerk,86313,13,2,1,4,No
165,44,Female,Sales,Developer,118352,1,1,1,3,Yes
166,29,Male,IT,Clerk,59374,3,2,2,4,No
167,25,Female,Sales,Developer,41422,5,1,1,2,Yes
168,53,Female,Operations,Executive,48202,10,4,1,2,No
169,42,Female,Sales,Developer,72272,11,0,4,4,No
170,52,Female,IT,Clerk,49959,10,2,1,4,Yes
171,32,Female,IT,Manager,25494,13,9,3,3,No
172,48,Male,Finance,Developer,73606,14,9,1,3,No
173,25,Female,IT,Clerk,113290,8,0,2,1,Yes
174,29,Male,HR,Developer,62467,14,0,4,1,Yes
175,44,Female,Sales,Clerk,33047,14,5,3,4,No
176,28,Male,HR,Executive,82861,8,3,4,1,No
177,34,Female,Finance,Analyst,31074,8,7,2,1,No
178,49,Male,IT,Developer,108000,5,5,1,3,No
179,32,Female,Operations,Analyst,30907,5,5,2,2,Yes
180,44,Female,Finance,Clerk,32009,15,0,1,1,No
181,51,Female,Finance,Clerk,24666,12,11,2,3,Yes
182,54,Female,HR,Clerk,98859,14,7,2,2,No
183,54,Male,IT,Analyst,36229,1,0,3,2,No
184,37,Male,Operations,Developer,31406,9,1,3,1,Yes
185,60,Female,Operations,Manager,18718,4,1,1,1,No
186,57,Female,Operations,Manager,80278,6,6,3,3,No
187,40,Female,Sales,Manager,35719,7,6,4,4,No
188,42,Male,IT,Developer,111233,14,3,3,4,Yes
189,56,Male,IT,Analyst,76141,11,8,1,3,No
190,27,Male,IT,Executive,95658,7,2,4,2,Yes
191,41,Male,HR,Executive,82466,10,9,4,4,No
192,26,Female,Operations,Executive,46552,15,0,2,3,Yes
193,52,Female,IT,Clerk,16071,1,1,1,4,Yes
194,46,Female,Sales,Executive,21705,8,5,2,3,No
195,53,Female,Operations,Developer,96689,2,1,1,2,Yes
196,42,Female,HR,Analyst,93966,12,5,4,1,Yes
197,42,Female,Operations,Executive,34521,1,0,2,3,No
198,60,Female,Operations,Developer,81494,5,3,4,3,No
199,42,Male,Finance,Clerk,55327,0,0,1,4,No
200,58,Female,HR,Clerk,97447,7,0,4,2,Yes
201,33,Male,Finance,Developer,69890,1,0,2,4,Yes
202,60,Female,Sales,Analyst,82984,13,8,2,3,No
203,32,Female,Operations,Developer,86601,12,5,3,3,No
204,38,Female,HR,Developer,116079,6,1,3,2,No
205,43,Female,IT,Manager,90166,10,7,4,4,No
206,23,Female,Sales,Developer,72983,4,2,3,4,Yes
207,55,Female,Operations,Developer,32992,6,6,1,2,Yes
208,35,Male,Sales,Executive,58292,1,0,4,1,Yes
209,47,Female,Finance,Analyst,114078,0,0,3,3,No
210,57,Male,Operations,Manager,37946,1,0,4,2,Yes
211,52,Male,IT,Manager,16214,12,12,3,1,No
212,55,Female,HR,Clerk,76344,9,7,3,2,Yes
213,50,Female,HR,Manager,111549,10,2,3,3,Yes
214,46,Female,Operations,Developer,26368,5,4,4,1,Yes
215,41,Male,Sales,Developer,65275,4,3,2,4,No
216,58,Male,IT,Developer,105802,10,4,2,1,Yes
217,31,Female,Operations,Developer,105477,14,4,1,3,No
218,29,Female,HR,Executive,113007,7,3,3,4,No
219,36,Male,Operations,Executive,84228,6,6,3,1,Yes
220,57,Male,HR,Developer,83202,1,0,4,1,Yes
221,53,Female,Sales,Executive,32294,15,2,4,4,Yes
222,40,Male,Finance,Developer,15395,14,10,2,1,Yes
223,25,Male,Sales,Executive,19159,13,5,3,4,Yes
224,44,Female,Finance,Executive,64236,4,3,1,2,No
225,55,Female,Operations,Analyst,110401,3,1,2,1,Yes
226,55,Female,Operations,Executive,45102,9,7,2,4,No
227,33,Male,Sales,Executive,95599,4,2,1,2,Yes
228,59,Male,Finance,Clerk,103083,2,0,1,2,Yes
229,35,Male,Sales,Analyst,81046,12,7,3,2,No
230,40,Male,Operations,Analyst,69206,10,3,3,3,Yes
231,48,Female,Sales,Developer,99320,5,5,4,3,No
232,40,Female,HR,Clerk,77065,13,2,2,2,No
233,24,Female,Finance,Clerk,84467,4,3,2,4,Yes
234,42,Male,Finance,Developer,27119,8,3,2,1,No
235,59,Male,Sales,Analyst,114837,12,10,2,4,Yes
236,21,Male,HR,Manager,112894,10,4,4,2,Yes
237,56,Female,IT,Executive,76112,12,3,3,3,No
238,52,Female,Sales,Executive,114828,11,8,3,2,No
239,23,Male,HR,Manager,49180,10,6,4,3,Yes
240,35,Female,Operations,Analyst,80444,6,2,3,3,No
241,31,Female,HR,Analyst,109412,15,14,4,2,Yes
242,24,Male,Finance,Analyst,97667,1,0,2,1,Yes
243,53,Female,IT,Manager,95980,0,0,4,4,Yes
244,21,Male,Operations,Developer,85220,0,0,3,1,No
245,27,Male,HR,Analyst,96235,5,0,3,3,No
246,44,Female,Finance,Clerk,46877,12,1,2,3,Yes
247,46,Female,Finance,Clerk,77390,1,0,1,1,Yes
248,48,Female,Operations,Manager,84226,2,1,1,2,Yes
249,23,Male,IT,Clerk,88860,15,8,1,2,No
250,58,Male,Finance,Manager,54226,0,0,2,2,No
251,29,Male,Operations,Developer,22038,10,6,1,4,Yes
252,59,Female,IT,Manager,98115,2,1,3,4,No
253,56,Female,Finance,Analyst,104088,7,5,4,1,No
254,26,Female,HR,Executive,108280,7,1,2,4,No
255,26,Male,IT,Executive,62175,11,1,3,1,Yes
256,48,Female,Operations,Clerk,82166,2,0,4,1,Yes
257,56,Male,Operations,Clerk,117817,2,1,3,4,Yes
258,45,Male,Operations,Analyst,89967,9,6,2,4,Yes
259,40,Female,Finance,Analyst,23292,4,2,2,4,No
260,51,Male,IT,Developer,47321,13,4,4,2,No
261,40,Male,Finance,Developer,96289,3,1,4,3,No
262,59,Male,IT,Developer,94064,10,6,2,4,No
263,41,Female,Finance,Clerk,117494,5,3,2,3,No
264,44,Male,Operations,Analyst,92624,8,6,2,1,No
265,39,Male,Finance,Executive,33242,6,3,3,2,No
266,45,Male,Finance,Clerk,77814,4,3,4,4,Yes
267,55,Male,Sales,Analyst,101193,11,11,3,2,Yes
268,42,Female,Sales,Manager,27924,12,12,3,2,Yes
269,46,Female,Operations,Clerk,34758,14,5,3,1,No
270,47,Male,Sales,Analyst,60656,3,2,3,3,No
271,51,Female,Finance,Manager,72431,6,4,4,3,Yes
272,28,Male,IT,Manager,103754,9,0,2,2,Yes
273,56,Female,Finance,Analyst,119563,5,2,4,2,Yes
274,22,Male,Finance,Clerk,71302,13,6,4,1,Yes
275,25,Male,Operations,Analyst,62945,6,2,3,2,No
276,52,Female,Operations,Executive,95125,3,2,4,1,No
277,60,Male,IT,Clerk,92354,11,7,1,2,No
278,40,Male,HR,Developer,105890,3,1,2,4,No
279,45,Female,HR,Executive,98296,4,4,2,2,No
280,32,Female,Finance,Clerk,22026,9,2,3,1,No
281,45,Female,Finance,Executive,69477,4,1,4,4,Yes
282,22,Male,IT,Manager,51025,2,2,2,3,Yes
283,52,Male,Operations,Manager,50112,14,9,3,1,No
284,27,Male,IT,Manager,73947,6,3,3,3,Yes
285,28,Male,HR,Clerk,105326,14,13,3,4,Yes
286,34,Male,Operations,Developer,84767,4,1,3,2,No
287,57,Female,Operations,Manager,32771,9,4,4,1,No
288,36,Male,IT,Analyst,114807,4,1,4,4,Yes
289,45,Female,Sales,Manager,67802,8,6,3,3,No
290,58,Male,Sales,Executive,98209,15,10,3,1,No
291,34,Female,IT,Developer,52171,6,3,3,2,No
292,24,Male,Sales,Executive,17134,10,10,1,2,No
293,48,Male,HR,Developer,35837,14,0,3,1,No
294,44,Male,Sales,Executive,96999,8,1,3,2,No
295,27,Male,HR,Executive,25215,2,2,2,2,No
296,42,Male,Finance,Analyst,77613,0,0,1,2,No
297,27,Male,IT,Developer,54223,2,2,2,4,Yes
298,54,Male,Operations,Analyst,72684,4,0,3,2,Yes
299,49,Male,Sales,Manager,33351,13,9,1,4,No
300,29,Male,IT,Manager,47527,13,5,3,1,No
301,59,Male,Finance,Developer,99694,6,4,1,2,No
302,36,Female,Operations,Manager,84243,12,1,1,3,No
303,57,Female,IT,Clerk,104514,4,3,2,4,Yes
304,21,Female,HR,Manager,22925,0,0,4,3,No
305,46,Male,Operations,Clerk,95746,13,11,2,3,Yes
306,53,Male,HR,Clerk,57827,9,1,4,1,No
307,36,Male,HR,Manager,71948,13,11,1,4,Yes
308,28,Male,HR,Manager,36473,9,2,4,3,No
309,29,Female,Sales,Manager,58910,5,2,4,3,Yes
310,52,Female,Operations,Developer,22266,8,1,4,2,No
311,27,Male,HR,Clerk,15336,5,2,1,1,Yes
312,44,Female,HR,Analyst,19635,1,1,4,2,No
313,41,Female,Sales,Clerk,63864,7,6,1,1,Yes
314,46,Male,Finance,Developer,116387,7,0,3,3,Yes
315,44,Male,IT,Clerk,117826,14,0,3,2,No
316,52,Male,Operations,Analyst,34735,11,9,1,4,Yes
317,21,Female,Sales,Executive,111741,7,5,3,1,Yes
318,52,Male,HR,Developer,27193,7,6,1,2,No
319,26,Male,Operations,Analyst,98521,11,7,4,1,Yes
320,29,Male,IT,Developer,56288,13,10,4,3,No
321,35,Male,HR,Analyst,117227,14,4,1,2,Yes
322,50,Female,Finance,Manager,85244,5,3,3,2,No
323,37,Male,Sales,Analyst,104922,9,7,3,1,Yes
324,26,Male,IT,Executive,82300,10,2,1,3,No
325,46,Female,Operations,Clerk,47748,5,0,1,4,Yes
326,21,Male,HR,Analyst,40969,4,0,4,3,Yes
327,22,Male,HR,Executive,31880,8,1,1,3,Yes
328,24,Male,Operations,Executive,109952,1,1,4,4,Yes
329,48,Male,IT,Analyst,39530,12,10,3,3,No
330,60,Male,IT,Executive,69000,4,0,4,1,Yes
331,29,Female,HR,Clerk,47656,8,6,1,4,No
332,43,Female,Finance,Developer,38568,15,15,1,3,Yes
333,24,Female,Operations,Developer,115511,0,0,2,2,Yes
334,38,Male,HR,Clerk,119515,7,3,4,3,Yes
335,58,Female,IT,Clerk,18697,5,1,3,2,Yes
336,32,Female,Sales,Manager,22362,15,9,2,2,Yes
337,42,Male,HR,Developer,108970,15,0,2,3,Yes
338,58,Male,Sales,Clerk,62826,0,0,1,3,No
339,40,Female,HR,Analyst,110990,3,2,4,4,No
340,56,Female,HR,Clerk,37983,5,5,4,3,No
341,21,Female,Operations,Manager,38865,4,1,3,2,Yes
342,42,Male,HR,Developer,56879,15,4,2,1,No
343,37,Male,HR,Manager,60938,14,0,3,1,Yes
344,49,Female,HR,Executive,79629,1,1,4,3,No
345,57,Male,HR,Executive,24661,3,3,1,3,Yes
346,27,Male,IT,Analyst,64212,10,4,2,1,Yes
347,60,Female,Sales,Executive,100673,10,9,2,4,Yes
348,42,Male,HR,Executive,106382,1,0,3,3,No
349,24,Female,Operations,Clerk,79349,7,1,2,1,No
350,26,Female,Operations,Executive,41171,0,0,1,1,Yes
351,39,Male,Finance,Manager,55416,5,5,4,4,No
352,55,Female,HR,Developer,64996,8,1,3,2,No
353,49,Female,IT,Analyst,50200,1,1,1,2,Yes
354,43,Female,Operations,Analyst,87561,2,2,1,4,No
355,51,Female,Sales,Executive,108625,15,7,1,2,Yes
356,31,Male,HR,Analyst,20593,14,2,4,1,No
357,30,Female,IT,Manager,26406,6,6,4,4,No
358,50,Male,Operations,Clerk,83493,8,8,4,1,No
359,57,Male,Sales,Clerk,117176,4,1,1,3,No
360,45,Female,Operations,Clerk,77003,13,4,1,2,No
361,60,Female,Sales,Executive,58449,12,2,2,1,No
362,22,Female,IT,Developer,51745,8,5,4,1,Yes
363,49,Female,IT,Executive,94295,4,2,1,2,No
364,47,Female,Operations,Developer,22367,6,6,2,1,No
365,54,Male,HR,Analyst,41309,12,2,1,2,Yes
366,44,Male,IT,Developer,75846,14,0,4,1,Yes
367,52,Female,HR,Executive,91923,7,5,3,3,Yes
368,39,Male,Finance,Manager,36352,8,1,2,2,Yes
369,47,Male,Sales,Executive,32342,6,2,2,1,Yes
370,38,Female,Finance,Developer,75161,8,4,3,2,No
371,60,Female,Operations,Manager,15963,9,8,3,3,No
372,25,Female,IT,Developer,51291,3,3,3,3,Yes
373,36,Male,Operations,Executive,101577,4,4,3,2,Yes
374,37,Female,Finance,Executive,111564,15,9,1,2,No
375,43,Female,HR,Clerk,38741,7,7,3,1,No
376,56,Male,IT,Manager,44131,4,2,3,2,No
377,42,Female,IT,Clerk,53541,13,12,4,1,No
378,51,Male,Operations,Manager,104220,1,0,4,3,No
379,29,Male,IT,Executive,89632,1,0,4,2,No
380,52,Female,HR,Developer,98165,5,0,1,1,No
381,31,Male,Finance,Manager,31961,8,3,4,4,No
382,45,Male,Sales,Clerk,41137,13,7,3,1,No
383,21,Male,HR,Developer,55906,6,0,2,1,No
384,25,Male,IT,Developer,74759,9,2,3,4,Yes
385,43,Male,HR,Executive,17506,10,7,2,2,Yes
386,22,Male,Sales,Developer,108206,6,5,1,4,No
387,27,Male,Sales,Manager,69627,1,0,4,4,Yes
388,30,Male,Sales,Developer,70164,8,7,1,3,Yes
389,27,Male,IT,Manager,117860,13,13,1,4,Yes
390,37,Male,IT,Executive,53712,6,6,2,1,No
391,51,Female,HR,Manager,16671,6,5,1,1,No
392,53,Male,Sales,Developer,99454,4,0,2,4,No
393,24,Male,HR,Manager,53085,8,7,3,3,No
394,23,Male,HR,Analyst,58078,3,0,3,4,No
395,42,Male,Sales,Executive,67461,2,1,4,3,No
396,31,Male,HR,Manager,35892,15,13,1,4,No
397,60,Female,IT,Clerk,18777,14,2,2,4,No
398,49,Male,Sales,Developer,100848,3,3,3,1,Yes
399,54,Male,Finance,Analyst,78167,10,8,3,4,Yes
400,31,Female,Finance,Analyst,24812,1,0,4,3,Yes
401,24,Male,Operations,Executive,67858,10,4,2,1,No
402,57,Female,Sales,Executive,73598,14,12,3,1,No
403,46,Female,Sales,Clerk,86971,0,0,1,1,No
404,50,Female,IT,Manager,44218,6,5,4,3,No
405,49,Male,Sales,Analyst,15287,11,11,3,3,No
406,27,Male,HR,Executive,33408,11,11,4,1,No
407,28,Female,HR,Executive,117422,6,1,2,3,Yes
408,58,Male,Finance,Executive,101305,13,0,2,4,Yes
409,58,Female,Operations,Analyst,105677,1,1,2,2,Yes
410,59,Female,Operations,Executive,69875,12,10,2,3,No
411,49,Male,HR,Executive,93974,10,4,3,3,Yes
412,60,Female,IT,Analyst,108113,6,1,2,3,Yes
413,51,Female,Operations,Developer,70363,11,8,1,1,Yes
414,24,Male,HR,Developer,113328,12,2,2,3,No
415,39,Male,Operations,Manager,62013,4,0,4,1,Yes
416,53,Female,Sales,Executive,65797,12,3,4,3,Yes
417,33,Female,HR,Developer,113973,0,0,2,2,No
418,25,Male,HR,Clerk,30643,14,2,4,1,No
419,37,Male,HR,Clerk,48425,8,8,1,3,No
420,30,Female,Operations,Manager,116405,4,0,3,4,No
421,41,Male,HR,Clerk,23936,2,2,2,4,No
422,35,Male,IT,Developer,62290,2,1,3,2,No
423,43,Female,HR,Clerk,96412,0,0,2,1,No
424,28,Female,IT,Clerk,109892,12,12,3,1,No
425,23,Female,HR,Developer,82357,14,7,1,1,Yes
426,34,Male,Finance,Manager,41945,0,0,4,1,Yes
427,42,Male,Sales,Manager,22113,0,0,2,3,Yes
428,47,Female,Finance,Executive,71757,7,4,3,1,No
429,60,Male,Operations,Manager,106866,3,0,1,3,Yes
430,59,Male,IT,Executive,64992,9,4,4,1,No
431,35,Male,Finance,Clerk,53663,5,4,2,3,No
432,28,Male,Sales,Clerk,93204,0,0,4,1,No
433,43,Male,Finance,Clerk,33671,6,5,2,2,Yes
434,28,Male,Operations,Manager,113440,8,3,4,1,No
435,27,Male,Operations,Executive,58365,2,1,3,2,Yes
436,60,Male,HR,Developer,78682,3,2,4,3,No
437,57,Female,IT,Executive,37103,4,4,1,3,Yes
438,38,Female,HR,Developer,77908,7,6,4,4,No
439,56,Male,HR,Clerk,25744,9,7,3,2,Yes
440,25,Male,Operations,Manager,91269,8,1,4,2,Yes
441,55,Female,HR,Developer,66445,8,8,2,3,Yes
442,53,Male,Finance,Developer,80820,14,8,1,2,Yes
443,31,Male,Operations,Clerk,101430,4,3,2,4,No
444,52,Male,Sales,Developer,63422,1,0,2,1,Yes
445,51,Female,Sales,Manager,100003,11,6,3,1,No
446,57,Male,Finance,Executive,62880,8,8,1,3,No
447,43,Female,Finance,Executive,94195,7,6,1,2,No
448,25,Female,HR,Analyst,39498,5,1,2,3,Yes
449,42,Male,Finance,Executive,77786,7,6,2,2,No
450,23,Male,Operations,Clerk,36119,0,0,2,1,Yes
451,37,Male,Operations,Executive,93558,1,0,1,3,Yes
452,59,Female,Finance,Analyst,43752,6,3,4,2,Yes
453,42,Female,Operations,Clerk,24023,8,2,2,4,No
454,22,Male,Operations,Clerk,104701,4,0,4,2,Yes
455,60,Male,Operations,Clerk,113616,5,3,1,1,No
456,55,Male,Finance,Clerk,70139,4,4,3,1,No
457,45,Female,Operations,Clerk,27807,7,7,4,2,No
458,26,Female,Operations,Clerk,68562,15,7,3,2,Yes
459,54,Male,Finance,Analyst,105146,0,0,3,4,No
460,48,Female,IT,Clerk,70517,3,1,3,3,No
461,56,Female,HR,Developer,88281,6,3,4,3,No
462,46,Male,Sales,Analyst,73536,11,11,2,1,Yes
463,42,Male,HR,Executive,98345,12,12,1,1,Yes
464,26,Male,IT,Analyst,63606,15,13,1,1,No
465,54,Female,Operations,Manager,116398,12,9,2,4,No
466,54,Female,HR,Manager,117755,0,0,2,2,Yes
467,21,Male,Sales,Developer,117193,11,3,4,3,No
468,33,Male,Sales,Manager,87036,12,9,3,3,No
469,59,Male,Finance,Executive,90354,8,3,1,3,Yes
470,27,Male,Operations,Developer,59560,13,8,1,3,No
471,57,Female,HR,Developer,116659,14,6,4,4,Yes
472,37,Male,Finance,Analyst,103724,15,3,2,3,No
473,55,Male,IT,Analyst,52655,11,8,1,4,No
474,32,Female,IT,Developer,43647,2,2,3,2,Yes
475,36,Male,IT,Analyst,45042,15,6,2,2,No
476,28,Male,Finance,Clerk,15868,4,0,1,4,No
477,57,Female,Finance,Analyst,115173,10,7,3,4,Yes
478,54,Female,Finance,Clerk,19268,4,0,3,4,Yes
